"Security","Symbol","GICS Sector","GICS Sub Industry","Headquarters Location","Date first added","CIK"
"Allstate Corp","ALL","Financials","Property & Casualty Insurance","Northfield Township, Illinois","1995-07-13","0000899051"
"Alphabet Inc Class A","GOOGL","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03","0001652044"
"Alphabet Inc Class C","GOOG","Communication Services","Interactive Media & Services","Mountain View, California","2006-04-03","0001652044"
"Altria Group Inc","MO","Consumer Staples","Tobacco","Richmond, Virginia",NA,"0000764180"
"Amazon.com Inc.","AMZN","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2005-11-18","0001018724"
"Ameren Corp","AEE","Utilities","Multi-Utilities","St. Louis, Missouri","1991-09-19","0001002910"
"American Airlines Group","AAL","Industrials","Airlines","Fort Worth, Texas","2015-03-23","0000006201"
"American Electric Power","AEP","Utilities","Electric Utilities","Columbus, Ohio",NA,"0000004904"
"American Express Co","AXP","Financials","Consumer Finance","New York, New York","1976-06-30","0000004962"
"American International Group","AIG","Financials","Property & Casualty Insurance","New York, New York","1980-03-31","0000005272"
"American Tower Corp.","AMT","Real Estate","Specialized REITs","Boston, Massachusetts","2007-11-19","0001053507"
"American Water Works Company Inc","AWK","Utilities","Water Utilities","Voorhees, New Jersey","2016-03-04","0001410636"
"Ameriprise Financial","AMP","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","2005-10-03","0000820027"
"AmerisourceBergen Corp","ABC","Health Care","Health Care Distributors","Chesterbrook, Pennsylvania","2001-08-30","0001140859"
"AMETEK Inc.","AME","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23","0001037868"
"Amgen Inc.","AMGN","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02","0000318154"
"Amphenol Corp","APH","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30","0000820313"
"Anadarko Petroleum Corp","APC","Energy","Oil & Gas Exploration & Production","The Woodlands, Texas","1997-07-28","0000773910"
"Analog Devices, Inc.","ADI","Information Technology","Semiconductors","Norwood, Massachusetts","1999-10-12","0000006281"
"ANSYS","ANSS","Information Technology","Application Software","Canonsburg, Pennsylvania","2017-06-19","0001013462"
"Anthem Inc.","ANTM","Health Care","Managed Health Care","Indianapolis, Indiana","2002-07-25","0001156039"
"Aon plc","AON","Financials","Insurance Brokers","London, United Kingdom","1996-04-23","0000315293"
"A.O. Smith Corp","AOS","Industrials","Building Products","Milwaukee, Wisconsin","2017-07-26","0000091142"
"Apache Corporation","APA","Energy","Oil & Gas Exploration & Production","Houston, Texas","1997-07-28","0000006769"
"Apartment Investment & Management","AIV","Real Estate","Residential REITs","Denver, Colorado","2003-03-14","0000922864"
"Apple Inc.","AAPL","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1982-11-30","0000320193"
"Applied Materials Inc.","AMAT","Information Technology","Semiconductor Equipment","Santa Clara, California","1995-03-16","0000006951"
"Aptiv Plc","APTV","Consumer Discretionary","Auto Parts & Equipment","Gillingham, Kent, United Kingdom","2012-12-24","0001521332"
"Archer-Daniels-Midland Co","ADM","Consumer Staples","Agricultural Products","Decatur, Illinois","1981-07-29","0000007084"
"Arconic Inc.","ARNC","Industrials","Aerospace & Defense","New York, New York","1964-03-31","0000004281"
"Arista Networks","ANET","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28","0001596532"
"Arthur J. Gallagher & Co.","AJG","Financials","Insurance Brokers","Itasca, Illinois","2016-05-31","0000354190"
"Assurant","AIZ","Financials","Multi-line Insurance","New York, New York","2007-04-10","0001267238"
"Atmos Energy Corp","ATO","Utilities","Gas Utilities","Dallas, Texas","2019-02-15","0000731802"
"AT&T Inc.","T","Communication Services","Integrated Telecommunication Services","Dallas, Texas","1983-11-30","0000732717"
"Autodesk Inc.","ADSK","Information Technology","Application Software","San Rafael, California","1989-12-01","0000769397"
"Automatic Data Processing","ADP","Information Technology","Internet Software & Services","Roseland, New Jersey","1981-03-31","0000008670"
"AutoZone Inc","AZO","Consumer Discretionary","Specialty Stores","Memphis, Tennessee","1997-01-02","0000866787"
"AvalonBay Communities, Inc.","AVB","Real Estate","Residential REITs","Arlington, Virginia","2007-01-10","0000915912"
"Avery Dennison Corp","AVY","Materials","Paper Packaging","Glendale, California","1987-12-31","0000008818"
"Baker Hughes, a GE Company","BHGE","Energy","Oil & Gas Equipment & Services","Houston, Texas",NA,"0001701605"
"Ball Corp","BLL","Materials","Metal & Glass Containers","Broomfield, Colorado","1984-10-31","0000009389"
"Bank of America Corp","BAC","Financials","Diversified Banks","Charlotte, North Carolina","1976-06-30","0000070858"
"The Bank of New York Mellon Corp.","BK","Financials","Asset Management & Custody Banks","New York, New York","1995-03-31","0001390777"
"Baxter International Inc.","BAX","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30","0000010456"
"BB&T Corporation","BBT","Financials","Regional Banks","Winston-Salem, North Carolina","1997-12-04","0000092230"
"Becton Dickinson","BDX","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30","0000010795"
"Berkshire Hathaway","BRK.B","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16","0001067983"
"Best Buy Co. Inc.","BBY","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1999-06-29","0000764478"
"Biogen Inc.","BIIB","Health Care","Biotechnology","Weston, Massachusetts","2003-11-13","0000875045"
"BlackRock","BLK","Financials","Asset Management & Custody Banks","New York, New York","2011-04-04","0001364742"
"Block H&R","HRB","Consumer Discretionary","Specialized Consumer Services","Kansas City, Missouri","1986-11-30","0000012659"
"Boeing Company","BA","Industrials","Aerospace & Defense","Chicago, Illinois",NA,"0000012927"
"Booking Holdings Inc","BKNG","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk, Connecticut","2009-11-06","0001075531"
"BorgWarner","BWA","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","2011-12-19","0000908255"
"Boston Properties","BXP","Real Estate","Office REITs","Boston, Massachusetts","2006-04-03","0001037540"
"Boston Scientific","BSX","Health Care","Health Care Equipment","Marlborough, Massachusetts","1995-02-24","0000885725"
"Brighthouse Financial Inc","BHF","Financials","Life & Health Insurance","Charlotte, North Carolina","2017-08-08","0001685040"
"Bristol-Myers Squibb","BMY","Health Care","Health Care Distributors","New York, New York",NA,"0000014272"
"Broadcom","AVGO","Information Technology","Semiconductors","San Jose, California","2014-05-08","0001441634"
"Broadridge Financial Solutions","BR","Information Technology","Data Processing & Outsourced Services","Lake Success, New York","2018-06-18","0001383312"
"Brown-Forman Corp.","BF.B","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31","0000014693"
"C. H. Robinson Worldwide","CHRW","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","2007-03-02","0001043277"
"Cabot Oil & Gas","COG","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23","0000858470"
"Cadence Design Systems","CDNS","Information Technology","Application Software","San Jose, California","2017-09-18","0000813672"
"Campbell Soup","CPB","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey",NA,"0000016732"
"Capital One Financial","COF","Financials","Consumer Finance","Tysons Corner, Virginia","1998-07-01","0000927628"
"Capri Holdings","CPRI","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2013-11-13","0001530721"
"Cardinal Health Inc.","CAH","Health Care","Health Care Distributors","Dublin, Ohio","1997-05-27","0000721371"
"Carmax Inc","KMX","Consumer Discretionary","Specialty Stores","Richmond, Virginia","2010-06-28","0001170010"
"Carnival Corp.","CCL","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","1998-12-22","0000815097"
"Caterpillar Inc.","CAT","Industrials","Construction Machinery & Heavy Trucks","Peoria, Illinois",NA,"0000018230"
"Cboe Global Markets","CBOE","Financials","Financial Exchanges & Data","Chicago, Illinois","2017-03-01","0001374310"
"CBRE Group","CBRE","Real Estate","Real Estate Services","Los Angeles, California","2006-11-10","0001138118"
"CBS Corp.","CBS","Communication Services","Broadcasting","New York, New York","1994-09-01","0000813828"
"Celanese Corp.","CE","Materials","Specialty Chemicals","Irving, Texas","2018-12-24","0001306830"
"Celgene Corp.","CELG","Health Care","Biotechnology","Summit, New Jersey","2006-11-06","0000816284"
"Centene Corporation","CNC","Health Care","Managed Health Care","St Louis, Missouri","2016-03-30","0001071739"
"CenterPoint Energy","CNP","Utilities","Multi-Utilities","Houston, Texas","1985-07-31","0001130310"
"CenturyLink Inc","CTL","Communication Services","Integrated Telecommunication Services","Monroe, Louisiana","1999-03-25","0000018926"
"Cerner","CERN","Health Care","Health Care Technology","North Kansas City, Missouri","2010-04-30","0000804753"
"CF Industries Holdings Inc","CF","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","2008-08-27","0001324404"
"Charles Schwab Corporation","SCHW","Financials","Investment Banking & Brokerage","San Francisco, California","1997-06-02","0000316709"
"Charter Communications","CHTR","Communication Services","Cable & Satellite","Stamford, Connecticut","2016-09-08","0001091667"
"Chevron Corp.","CVX","Energy","Integrated Oil & Gas","San Ramon, California",NA,"0000093410"
"Chipotle Mexican Grill","CMG","Consumer Discretionary","Restaurants","Denver, Colorado","2011-04-28","0001058090"
"Chubb Limited","CB","Financials","Property & Casualty Insurance","Zurich, Switzerland","2010-07-15","0000896159"
"Church & Dwight","CHD","Consumer Staples","Household Products","Ewing, New Jersey","2015-12-29","0000313927"
"CIGNA Corp.","CI","Health Care","Managed Health Care","Bloomfield, Connecticut","1976-06-30","0000701221"
"Cimarex Energy","XEC","Energy","Oil & Gas Exploration & Production","Denver, Colorado","2014-06-21","0001168054"
"Cincinnati Financial","CINF","Financials","Property & Casualty Insurance","Fairfield, Ohio","1997-12-18","0000020286"
"Cintas Corporation","CTAS","Industrials","Diversified Support Services","Mason, Ohio","2001-03-01","0000723254"
"Cisco Systems","CSCO","Information Technology","Communications Equipment","San Jose, California","1993-12-01","0000858877"
"Citigroup Inc.","C","Financials","Diversified Banks","New York, New York","1988-05-31","0000831001"
"Citizens Financial Group","CFG","Financials","Regional Banks","Providence, Rhode Island","2016-01-29","0000759944"
"Citrix Systems","CTXS","Information Technology","Internet Software & Services","Fort Lauderdale, Florida","1999-12-01","0000877890"
"The Clorox Company","CLX","Consumer Staples","Household Products","Oakland, California","1969-03-31","0000021076"
"CME Group Inc.","CME","Financials","Financial Exchanges & Data","Chicago, Illinois","2006-08-11","0001156375"
"CMS Energy","CMS","Utilities","Multi-Utilities","Jackson, Michigan","1999-05-03","0000811156"
"Coca-Cola Company","KO","Consumer Staples","Soft Drinks","Atlanta, Georgia",NA,"0000021344"
"Cognizant Technology Solutions","CTSH","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","2006-11-17","0001058290"
"Colgate-Palmolive","CL","Consumer Staples","Household Products","New York, New York",NA,"0000021665"
"Comcast Corp.","CMCSA","Communication Services","Cable & Satellite","Philadelphia, Pennsylvania","2015-09-18","0001166691"
"Comerica Inc.","CMA","Financials","Diversified Banks","Dallas, Texas","1995-12-01","0000028412"
"Conagra Brands","CAG","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1983-08-31","0000023217"
"Concho Resources","CXO","Energy","Oil & Gas Exploration & Production","Midland, Texas","2016-02-22","0001358071"
"ConocoPhillips","COP","Energy","Oil & Gas Exploration & Production","Houston, Texas",NA,"0001163165"
"Consolidated Edison","ED","Utilities","Electric Utilities","New York, New York",NA,"0001047862"
"Constellation Brands","STZ","Consumer Staples","Distillers & Vintners","Victor, New York","2005-07-05","0000016918"
"The Cooper Companies","COO","Health Care","Health Care Supplies","Pleasanton, California","2016-09-23","0000711404"
"Copart Inc","CPRT","Industrials","Diversified Support Services","Dallas, Texas","2018-07-02","0000900075"
"Corning Inc.","GLW","Information Technology","Electronic Components","Corning, New York",NA,"0000024741"
"Costco Wholesale Corp.","COST","Consumer Staples","Hypermarkets & Super Centers","Issaquah, Washington","1993-10-01","0000909832"
"Coty, Inc","COTY","Consumer Staples","Personal Products","New York, New York","2016-10-03","0001024305"
"Crown Castle International Corp.","CCI","Real Estate","Specialized REITs","Houston, Texas","2012-03-14","0001051470"
"CSX Corp.","CSX","Industrials","Railroads","Jacksonville, Florida","1967-09-30","0000277948"
"Cummins Inc.","CMI","Industrials","Industrial Machinery","Columbus, Indiana","1965-03-31","0000026172"
"CVS Health","CVS","Health Care","Health Care Services","Woonsocket, Rhode Island",NA,"0000064803"
"D. R. Horton","DHI","Consumer Discretionary","Homebuilding","Fort Worth, Texas",NA,"0000882184"
"Danaher Corp.","DHR","Health Care","Health Care Equipment","Washington, D.C.",NA,"0000313616"
"Darden Restaurants","DRI","Consumer Discretionary","Restaurants","Orlando, Florida",NA,"0000940944"
"DaVita Inc.","DVA","Health Care","Health Care Facilities","Denver, Colorado","2008-07-31","0000927066"
"Deere & Co.","DE","Industrials","Agricultural & Farm Machinery","Moline, Illinois",NA,"0000315189"
"Delta Air Lines Inc.","DAL","Industrials","Airlines","Atlanta, Georgia","2013-09-11","0000027904"
"Dentsply Sirona","XRAY","Health Care","Health Care Supplies","York, Pennsylvania","2008-11-14","0000818479"
"Devon Energy","DVN","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","2000-08-30","0001090012"
"Diamondback Energy","FANG","Energy","Oil & Gas Exploration & Production","Midland, Texas","2018-12-03","0001539838"
"Digital Realty Trust Inc","DLR","Real Estate","Specialized REITs","San Francisco, California","2016-05-18","0001297996"
"Discover Financial Services","DFS","Financials","Consumer Finance","Riverwoods, Illinois","2007-07-02","0001393612"
"Discovery Inc. Class A","DISCA","Communication Services","Broadcasting","Silver Spring, Maryland","2010-03-01","0001437107"
"Discovery Inc. Class C","DISCK","Communication Services","Broadcasting","Silver Spring, Maryland","2014-08-07","0001437107"
"Dish Network","DISH","Communication Services","Cable & Satellite","Meridian, Colorado","2017-03-13","0001001082"
"Dollar General","DG","Consumer Discretionary","General Merchandise Stores","Goodlettsville, Tennessee","2012-12-03","0000029534"
"Dollar Tree","DLTR","Consumer Discretionary","General Merchandise Stores","Chesapeake, Virginia","2011-12-19","0000935703"
"Dominion Energy","D","Utilities","Electric Utilities","Richmond, Virginia",NA,"0000715957"
"Dover Corp.","DOV","Industrials","Industrial Machinery","Downers Grove, Illinois","1985-10-31","0000029905"
"DowDuPont","DWDP","Materials","Diversified Chemicals","Midland, Michigan",NA,"0001666700"
"DTE Energy Co.","DTE","Utilities","Multi-Utilities","Detroit, Michigan",NA,"0000936340"
"Duke Realty Corp","DRE","Real Estate","Industrial REITs","Indianapolis, Indiana","2017-07-26","0000783280"
"Duke Energy","DUK","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30","0001326160"
"DXC Technology","DXC","Information Technology","IT Consulting & Other Services","Tysons Corner, Virginia","2017-04-04","0001688568"
"E*Trade","ETFC","Financials","Investment Banking & Brokerage","New York, New York","2004-03-31","0001015780"
"Eastman Chemical","EMN","Materials","Diversified Chemicals","Kingsport, Tennessee","1994-01-01","0000915389"
"Eaton Corporation","ETN","Industrials","Electrical Components & Equipment","Dublin, Ireland",NA,"0001551182"
"eBay Inc.","EBAY","Consumer Discretionary","Internet & Direct Marketing Retail","San Jose, California",NA,"0001065088"
"Ecolab Inc.","ECL","Materials","Specialty Chemicals","St. Paul, Minnesota","1989-01-31","0000031462"
"Edison Int'l","EIX","Utilities","Electric Utilities","Rosemead, California",NA,"0000827052"
"Edwards Lifesciences","EW","Health Care","Health Care Equipment","Irvine, California","2011-04-01","0001099800"
"Electronic Arts","EA","Communication Services","Interactive Home Entertainment","Redwood City, California","2002-07-22","0000712515"
"Emerson Electric Company","EMR","Industrials","Electrical Components & Equipment","Ferguson, Missouri","1965-03-31","0000032604"
"Entergy Corp.","ETR","Utilities","Electric Utilities","New Orleans, Louisiana",NA,"0000065984"
"EOG Resources","EOG","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02","0000821189"
"Equifax Inc.","EFX","Industrials","Research & Consulting Services","Atlanta, Georgia","1997-06-19","0000033185"
"Equinix","EQIX","Real Estate","Specialized REITs","Redwood City, California","2015-03-20","0001101239"
"Equity Residential","EQR","Real Estate","Residential REITs","Chicago, Illinois","2001-12-03","0000906107"
"Essex Property Trust, Inc.","ESS","Real Estate","Residential REITs","Palo Alto, California","2014-04-02","0000920522"
"Estee Lauder Cos.","EL","Consumer Staples","Personal Products","New York, New York","2006-01-05","0001001250"
"Evergy","EVRG","Utilities","Electric Utilities","Kansas City, Missouri","2018-06-05","0001711269"
"Eversource Energy","ES","Utilities","Multi-Utilities","Springfield, Massachusetts",NA,"0000072741"
"Everest Re Group Ltd.","RE","Financials","Reinsurance","Hamilton, Bermuda","2017-06-19","0001095073"
"Exelon Corp.","EXC","Utilities","Multi-Utilities","Chicago, Illinois",NA,"0001109357"
"Expedia Group","EXPE","Consumer Discretionary","Internet & Direct Marketing Retail","Bellevue, Washington","2007-10-02","0001324424"
"Expeditors","EXPD","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10","0000746515"
"Extra Space Storage","EXR","Real Estate","Specialized REITs","Salt Lake City, Utah","2016-01-19","0001289490"
"Exxon Mobil Corp.","XOM","Energy","Integrated Oil & Gas","Irving, Texas",NA,"0000034088"
"F5 Networks","FFIV","Information Technology","Communications Equipment","Seattle, Washington","2010-12-20","0001048695"
"Facebook, Inc.","FB","Communication Services","Interactive Media & Services","Menlo Park, California","2013-12-23","0001326801"
"Fastenal Co","FAST","Industrials","Building Products","Winona, Minnesota","2009-09-15","0000815556"
"Federal Realty Investment Trust","FRT","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01","0000034903"
"FedEx Corporation","FDX","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31","0001048911"
"Fidelity National Information Services","FIS","Information Technology","Internet Software & Services","Jacksonville, Florida","2006-11-10","0001136893"
"Fifth Third Bancorp","FITB","Financials","Regional Banks","Cincinnati, Ohio",NA,"0000035527"
"FirstEnergy Corp","FE","Utilities","Electric Utilities","Akron, Ohio",NA,"0001031296"
"First Republic Bank","FRC","Financials","Regional Banks","San Francisco, California","2019-01-02","0001132979"
"Fiserv Inc","FISV","Information Technology","Internet Software & Services","Brookfield, Wisconsin","2001-04-02","0000798354"
"FleetCor Technologies Inc","FLT","Information Technology","Data Processing & Outsources Services","Norcross, Georgia","2018-06-20","0001175454"
"FLIR Systems","FLIR","Information Technology","Electronic Equipment & Instruments","Wilsonville, Oregon","2009-01-02","0000354908"
"Flowserve Corporation","FLS","Industrials","Industrial Machinery","Irving, Texas","2008-10-02","0000030625"
"Fluor Corp.","FLR","Industrials","Construction & Engineering","Irving, Texas","1980-03-31","0001124198"
"FMC Corporation","FMC","Materials","Fertilizers & Agricultural Chemicals","Philadelphia, Pennsylvania","2009-08-19","0000037785"
"Foot Locker Inc","FL","Consumer Discretionary","Apparel Retail","New York, New York","2016-04-04","0000850209"
"Ford Motor","F","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan",NA,"0000037996"
"Fortinet","FTNT","Information Technology","Systems Software","Sunnyvale, California","2018-10-11","0001262039"
"Fortive Corp","FTV","Industrials","Industrial Machinery","Everett, Washington","2016-07-01","0001659166"
"Fortune Brands Home & Security","FBHS","Industrials","Building Products","Deerfield, Illinois","2016-06-22","0001519751"
"Franklin Resources","BEN","Financials","Asset Management & Custody Banks","San Mateo, California",NA,"0000038777"
"Freeport-McMoRan Inc.","FCX","Materials","Copper","Phoenix, Arizona",NA,"0000831259"
"Gap Inc.","GPS","Consumer Discretionary","Apparel Retail","San Francisco, California","1986-08-31","0000039911"
"Garmin Ltd.","GRMN","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12","0001121788"
"Gartner Inc","IT","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","2017-04-05","0000749251"
"General Dynamics","GD","Industrials","Aerospace & Defense","Falls Church, Virginia",NA,"0000040533"
"General Electric","GE","Industrials","Industrial Conglomerates","Boston, Massachusetts",NA,"0000040545"
"General Mills","GIS","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1969-03-31","0000040704"
"General Motors","GM","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06","0001467858"
"Genuine Parts","GPC","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","1973-12-31","0000040987"
"Gilead Sciences","GILD","Health Care","Biotechnology","Foster City, California","2004-07-01","0000882095"
"Global Payments Inc.","GPN","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2016-04-25","0001123360"
"Goldman Sachs Group","GS","Financials","Investment Banking & Brokerage","New York, New York","2002-07-22","0000886982"
"Grainger (W.W.) Inc.","GWW","Industrials","Industrial Machinery","Lake Forest, Illinois","1981-06-30","0000277135"
"Halliburton Co.","HAL","Energy","Oil & Gas Equipment & Services","Houston, Texas",NA,"0000045012"
"Hanesbrands Inc","HBI","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina","2015-03-20","0001359841"
"Harley-Davidson","HOG","Consumer Discretionary","Motorcycle Manufacturers","Milwaukee, Wisconsin",NA,"0000793952"
"Harris Corporation","HRS","Industrials","Aerospace & Defense","Melbourne, Florida","2008-09-22","0000202058"
"Hartford Financial Svc.Gp.","HIG","Financials","Property & Casualty Insurance","Hartford, Connecticut",NA,"0000874766"
"Hasbro Inc.","HAS","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30","0000046080"
"HCA Holdings","HCA","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27","0000860730"
"HCP Inc.","HCP","Real Estate","Health Care REITs","Long Beach, California","2008-03-31","0000765880"
"Helmerich & Payne","HP","Energy","Oil & Gas Drilling","Tulsa, Oklahoma","2010-03-01","0000046765"
"Henry Schein","HSIC","Health Care","Health Care Distributors","Melville, New York","2015-03-17","0001000228"
"The Hershey Company","HSY","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania",NA,"0000047111"
"Hess Corporation","HES","Energy","Integrated Oil & Gas","New York, New York","1984-05-31","0000004447"
"Hewlett Packard Enterprise","HPE","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","2015-11-02","0001645590"
"Hilton Worldwide Holdings Inc","HLT","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","2017-06-19","0001585689"
"HollyFrontier Corp","HFC","Energy","Oil & Gas Refining & Marketing","Dallas, Texas","2018-06-18","0000048039"
"Hologic","HOLX","Health Care","Health Care Equipment","Marlborough, Massachusetts","2016-03-30","0000859737"
"Home Depot","HD","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1988-03-31","0000354950"
"Honeywell Int'l Inc.","HON","Industrials","Industrial Conglomerates","Morristown, New Jersey","1964-03-31","0000773840"
"Hormel Foods Corp.","HRL","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","2009-03-04","0000048465"
"Host Hotels & Resorts","HST","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","2007-03-20","0001070750"
"HP Inc.","HPQ","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","1974-12-31","0000047217"
"Humana Inc.","HUM","Health Care","Managed Health Care","Louisville, Kentucky",NA,"0000049071"
"Huntington Bancshares","HBAN","Financials","Regional Banks","Columbus, Ohio",NA,"0000049196"
"Huntington Ingalls Industries","HII","Industrials","Aerospace & Defense","Newport News, Virginia","2018-01-03","0001501585"
"IDEXX Laboratories","IDXX","Health Care","Health Care Equipment","Westbrook, Maine","2017-01-05","0000874716"
"IHS Markit Ltd.","INFO","Industrials","Research & Consulting Services","London, United Kingdom","2017-06-02","0001598014"
"Illinois Tool Works","ITW","Industrials","Industrial Machinery","Glenview, Illinois","1986-02-28","0000049826"
"Illumina Inc","ILMN","Health Care","Life Sciences Tools & Services","San Diego, California","2015-11-19","0001110803"
"Ingersoll-Rand PLC","IR","Industrials","Industrial Machinery","Dublin, Ireland","2010-11-17","0001466258"
"Intel Corp.","INTC","Information Technology","Semiconductors","Santa Clara, California","1976-12-31","0000050863"
"Intercontinental Exchange","ICE","Financials","Financial Exchanges & Data","Atlanta, Georgia","2007-09-26","0001571949"
"International Business Machines","IBM","Information Technology","IT Consulting & Other Services","Armonk, New York",NA,"0000051143"
"Incyte","INCY","Health Care","Biotechnology","Wilmington, Delaware","2017-02-28","0000879169"
"International Paper","IP","Materials","Paper Packaging","Memphis, Tennessee",NA,"0000051434"
"Interpublic Group","IPG","Communication Services","Advertising","New York, New York","1992-10-01","0000051644"
"Intl Flavors & Fragrances","IFF","Materials","Specialty Chemicals","New York, New York","1976-03-31","0000051253"
"Intuit Inc.","INTU","Information Technology","Internet Software & Services","Mountain View, California","2000-12-05","0000896878"
"Intuitive Surgical Inc.","ISRG","Health Care","Health Care Equipment","Sunnyvale, California","2008-06-02","0001035267"
"Invesco Ltd.","IVZ","Financials","Asset Management & Custody Banks","Atlanta, Georgia","2008-08-21","0000914208"
"IPG Photonics Corp.","IPGP","Information Technology","Electronic Manufacturing Services","Oxford, Massachusetts","2018-03-07","0001111928"
